"Märksõna (B1, B2)",tundetoon,sonaliik
kulgema,dom neutr,V
kull,dom neutr,S
kulm,dom neutr,S
kultuur,vastuolu,S
kultuurikeskus,vastuolu,S
kultuurimaja,vastuolu,S
kulu,vastuolu,S/S
kuluma,dom neutr,V
kulutama,vastuolu,V
kulutus,vastuolu,S
kummaline,dom neg,A
kunagine,dom neutr,A
kuningas,vastuolu,S
kunst,vastuolu,S
kunstikool,dom neutr,S
kunstimuuseum,dom neutr,S
kunstnik,vastuolu,S
kurat,dom neg,S
kurb,dom neg,A
kurbus,dom neg,S
kurg,dom neutr,S
kuri,dom neg,A/S
kuritegevus,dom neg,S
kuritegu,dom neg,S
kurjategija,dom neg,S
kurk,dom neutr,S/S
kurss,dom neutr,S
kursus,dom neutr,S
kurtma,dom neg,V
kurv,dom neutr,S
kurvastama,dom neg,V
kustutama,dom neutr,V
kutse,vastuolu,S
kutsekool,dom neutr,S
kutsuma,vastuolu,V
kuu,dom neutr,S
kuub,dom neutr,S
kuues,dom neutr,N
kuukaart,dom neutr,S
kuul,vastuolu,S
kuulaja,dom neutr,S
kuulama,dom neutr,V
kuulma,dom neutr,V
kuulsus,vastuolu,S
kuuluma,dom neutr,V
kuulus,dom vastuolu,A
kuulutama,dom neutr,V
kuulutus,dom neutr,S
kuum,vastuolu,A/S
kuupäev,dom neutr,S
kuus,dom neutr,N
kuusk,dom neutr,S
kvaliteet,vastuolu,S
kvaliteetne,dom pos,A
kvartal,dom neutr,S
kviitung,dom neutr,S
kõhn,dom neg,A
kõht,dom neutr,S
kõik,vastuolu,P/S
kõlama,dom neutr,V
kõlbama,vastuolu,V
kõndima,dom neutr,V
kõne,dom neutr,S
kõnelema,dom neutr,V
kõnelus,dom neutr,S
kõnnitee,dom neutr,S
kõrge ,dom neutr,A
kõrgharidus,vastuolu,S
kõrghoone,dom neutr,S
kõrgkool,dom neutr,S
kõrgune,dom neutr,A
kõrgus,dom neutr,S
kõrv,dom neutr,S
kõrvaldama,vastuolu,V
kõrvaltee,dom neutr,S
kõva,vastuolu,A
käekell,dom neutr,S
käekiri,dom neutr,S
käekott,dom neutr,S
käik ,dom neutr,S
käima,dom neutr,V
käituma,dom neutr,V
käive,dom neutr,S
käivitama,vastuolu,V
kärbes,vastuolu,S
kärpima,dom neg,V
käsi,dom neutr,S
käsitlema,dom neutr,V
käsk,vastuolu,S
käskima,dom neg,V
käskkiri,vastuolu,S
käsutus,dom neutr,S
käärid,dom neutr,S
köha,dom neg,S
köhima,dom neg,V
köögivili,dom neutr,S
köök,dom neutr,S
küla,dom neutr,S
külaline,dom pos,S
külaskäik,dom pos,S
külastaja,vastuolu,S
külastama,dom neutr,V
külg,dom neutr,S
külm,vastuolu,A/S
külmetama,vastuolu,V
külmkapp,dom neutr,S
kümme,dom neutr,N
kümmekond,dom neutr,N
kümnes,dom neutr,N
küpsetama,dom neutr,V
küsima,dom neutr,V
küsimus,dom neutr,S
küsitlus,dom neutr,S
küte,dom neutr,S
kütma,dom neutr,V
kütt,vastuolu,S
kütus,dom neutr,S
küünal,vastuolu,S
küüs,dom neutr,S
laad,dom neutr,S
laadima,dom neutr,V/V
laduma,dom neutr,V
laekuma,dom neutr,V
laen,vastuolu,S
laenama,vastuolu,V
laenutama,vastuolu,V
laenutus,dom neutr,S
laev,dom neutr,S
lagi,dom neutr,S
lagunema,dom neg,V
lahe,dom pos,A
lahendama,dom pos,V
lahendus,dom pos,S
lahing,dom neg,S
lahja,vastuolu,A
lahke,dom pos,A
lahkuma,vastuolu,V
laht,dom neutr,S
lahtine,vastuolu,A
lahutama,dom neg,V
lai ,vastuolu,A
laiendama,vastuolu,V
laienema,vastuolu,V
laine,dom neutr,S
laip,dom neg,S
laisk,dom neg,A
laius,dom neutr,S
lamama,dom neutr,V
lammas,dom neutr,S
lammutama,dom neg,V
lamp,dom neutr,S
langema,dom neutr,V
langetama,dom neutr,V
langus,vastuolu,S
laps,vastuolu,S
lapsehoidja,dom neutr,S
lapselaps,dom pos,S
lapsepõlv,dom pos,S
lapsevanem,vastuolu,S
laskemoon,vastuolu,S
laskma,vastuolu,V
lasteaed,vastuolu,S
lastekodu,dom neg,S
laud,dom neutr,S
laul,dom neutr,S
laulja,dom neutr,S
laulma,vastuolu,V
laupäev,vastuolu,S
lause,dom neutr,S
lausuma,dom neutr,V
laut,dom neutr,S
lava,dom neutr,S
lavastaja,dom neutr,S
lavastama,dom neutr,V
lavastus,dom neutr,S
legend,vastuolu,S
lehekülg,dom neutr,S
lehm,vastuolu,S
leht,dom neutr,S
leib,dom pos,S
leidma,vastuolu,V
leiduma,dom neutr,V
lektor,dom neutr,S
lemmik,dom pos,S
lemmikloom,dom pos,S
lend,dom neutr,S
lendama,dom neutr,V
lennujaam,dom neutr,S
lennuk,dom neutr,S
lennuväli,dom neutr,S
lepe,vastuolu,S
leping,dom neutr,S
leppima,vastuolu,V
lesk,dom neg,S
lett,dom neutr,S
levi,dom neutr,S
levima,dom neutr,V
libe,dom neg,A/S
libisema,vastuolu,V
lift,dom neutr,S
liha,dom neutr,S
lihavõtted,vastuolu,S
lihtne ,vastuolu,A
liiga,vastuolu,D/S
liige,dom neutr,S
liigne,dom neg,A
liik,dom neutr,S/S
liiklus,dom neutr,S
liiklusmärk,dom neutr,S
liikuma,dom neutr,V
liim,dom neutr,S
liin,dom neutr,S
liit,dom neutr,S
liiter,dom neutr,S
liitma,dom neutr,V
liitrine,dom neutr,A
liituma,dom neutr,V
liiv,dom neutr,S
liivane,dom neutr,A
lill,dom pos,S
lilla,vastuolu,A
limonaad,vastuolu,S
lina,dom neutr,S
lind,dom neutr,S
linlane,dom neutr,S
linn,dom neutr,S
linnaosa,dom neutr,S
linnapea,dom neutr,S
linnavalitsus,dom neutr,S
lipp,dom neutr,S/S
lisa,dom neutr,S
lisama,dom neutr,V
lisanduma,dom neutr,V
loeng,dom neutr,S
lohutama,dom vastuolu,V
loll,dom neg,A/S
loobuma,dom neg,V
loodu,vastuolu,S
loodus,vastuolu,S
loogiline,dom pos,A
loojuma,vastuolu,V
loom,dom neutr,S/S
looma,dom pos,V
loomaaed,dom neutr,S
looming,dom pos,S
loominguline,dom pos,A
loomulik,dom pos,A
loosung,vastuolu,S
lootma,dom pos,V
lootus,dom pos,S
lootusetu,dom neg,A
loovutama,dom neg,V
loss,vastuolu,S
loterii,vastuolu,S
luba,vastuolu,S
lubadus,dom pos,S
lubama,dom pos,V
lugeja,dom neutr,S
lugema,dom neutr,V
lugu,dom neutr,S
luik,dom neutr,S
lukk,dom neutr,S
lumi,dom neutr,S
lusikas,dom neutr,S
luule,vastuolu,S
luuletaja,dom neutr,S
luuletus,dom neutr,S
lõbus,dom pos,A
lõhkuma,dom neg,V
lõhn,vastuolu,S
lõhnama,dom pos,V
lõikama,vastuolu,V
lõpetama,vastuolu,V
lõpetanu,dom neutr,S
lõplik,dom vastuolu,A
lõpp,vastuolu,S
lõppema,vastuolu,V
lõug,dom neutr,S
lõuna,dom neutr,S
lõunasöök,dom neutr,S
lõvi,dom neutr,S
läbima,dom neutr,V
lähedane,dom pos,A/S
lähedus,dom pos,S
lähem,dom neutr,A
lähenema,vastuolu,V
lähim,vastuolu,A
lähtuma,dom neutr,V
läikima,vastuolu,V
lääs,dom neutr,S
lörts,dom neg,S
löök,vastuolu,S
lööma,dom neg,V
lühem,dom neutr,A
lühike,dom neutr,A
lükkama,dom neutr,V
lülitama,dom neutr,V
lüpsma,dom neutr,V
maa,dom neutr,S
maa-ala,dom neutr,S
maailm,dom neutr,S
maailmameister,dom pos,S
maailmasõda,dom neg,S
maakond,dom neutr,S
maal,dom neutr,D/S
maalima,vastuolu,V
maanduma,dom neutr,V
maantee,dom neutr,S
maarahvas,vastuolu,S
maasikas,dom pos,S
maastik,dom neutr,S
maavalitsus,dom neutr,S
madal ,vastuolu,A/S
madrus,dom neutr,S
magama,dom neutr,V
magamistuba,dom neutr,S
mage,dom neg,A
magus,vastuolu,A
magustoit,dom pos,S
mahl,dom neutr,S
maht,dom neutr,S
mahtuma,dom neutr,V
mai,dom neutr,S
maine,dom neutr,A/S
mainima,dom neutr,V
maitse,dom neutr,S
maitseaine,dom neutr,S
maitsema,vastuolu,V
maitsev,dom pos,A
maitsma,dom neutr,V
maja,dom neutr,S
majandus,dom neutr,S
majanduslik,dom neutr,A
maks,dom neutr,S/S
makse,dom neutr,S
maksma,dom neutr,V
malev,dom neutr,S
mantel,dom neutr,S
mari,dom neutr,S
mark,dom neutr,S/S
marsruut,dom neutr,S
masin,dom neutr,S
mask,dom neutr,S
mass,vastuolu,S
matemaatika,dom neutr,S
materiaalne,dom neutr,A
materjal,dom neutr,S
matk,dom neutr,S
matma,dom neg,V
matus,dom neg,S
medal,dom pos,S
meditsiin,dom neutr,S
meede,dom neutr,S
meel,dom neutr,S
meeldima,dom pos,V
meeldiv,dom pos,A
meelelahutus,dom pos,S
meeleolu,dom neutr,S
meelitama,vastuolu,V
meene,vastuolu,S
meenuma,dom neutr,V
meenutama,dom neutr,V
mees,dom neutr,S
meeskond,dom neutr,S
meessugu,dom neutr,S
meeter,dom neutr,S
meetod,dom neutr,S
mehhanism,dom neutr,S
meilima,dom neutr,V
meister,dom pos,S
menüü,dom neutr,S
meri,dom neutr,S
mesi,dom pos,S
mesilane,vastuolu,S
mess,dom neutr,S
metall,dom neutr,S
mets,dom neutr,S
metsloom,dom neutr,S
miinus,vastuolu,S
miljard,dom neutr,N
miljon,dom neutr,N
millimeeter,dom neutr,S
mina,vastuolu,P/S
minek,dom neutr,S
minema,dom neutr,V
minevik,dom neutr,S
minimaalne,dom neutr,A
ministeerium ,dom neutr,S
minister ,dom neutr,S
minut,dom neutr,S
mobiiltelefon,dom neutr,S
moment,dom neutr,S
mood,dom neutr,S
moodne,dom pos,A
moodustama,dom neutr,V
moos,dom pos,S
mootor,dom neutr,S
mootorratas,dom neutr,S
mudel,dom neutr,S
mugav,dom pos,A
mugavus,dom pos,S
muld,dom neutr,S
mulje,dom neutr,S
mullune,dom neutr,A
muna,dom neutr,S
murd,dom neutr,S
murdma,vastuolu,V
mure,dom neg,A/S
murelik,dom neg,A
muretsema,dom neg,V
muretu,dom pos,A
muru,dom neutr,S
must,vastuolu,A/S
mustikas,dom neutr,S
mustsõstar,dom neutr,S
muudatus,vastuolu,S
muulane,dom neg,S
muuseum,dom neutr,S
muusik,dom neutr,S
muusika,dom neutr,S
muusikal,dom neutr,S
muutlik,dom neg,A
muutma,dom neutr,V
muutuma,dom neutr,V
muutus,vastuolu,S
mõis,dom neutr,S
mõiste,dom neutr,S
mõistlik,dom pos,A
mõistma,dom pos,V
mõistus,vastuolu,S
mõju,dom neutr,S
mõjuma,dom neutr,V
mõjutama,vastuolu,V
mõnus,dom pos,A
mõrv,dom neg,S
mõte,dom neutr,S
mõtlema,vastuolu,V
mõtlik,dom neutr,A
mõttetu,dom neg,A
mõõde,dom neutr,S
mõõdukas,vastuolu,A
mõõtma,dom neutr,V
mägi,dom neutr,S
mälestus,vastuolu,S
mälestusmärk,dom neutr,S
mäletama,vastuolu,V
mälu,dom neutr,S
mänd,dom neutr,S
mäng,vastuolu,S
mängija,dom neutr,S
mängima,vastuolu,V
mänguasi,vastuolu,S
märg,vastuolu,A
märk,dom neutr,S/S
märkama,vastuolu,V
märkima,dom neutr,V
märkimisväärne,vastuolu,A
märkus,dom neg,S
märts,dom neutr,S
määr,dom neutr,S
määrama,dom neutr,V
määratlema,dom neutr,V
määrav,dom neutr,A
määrima,vastuolu,V
määrus,dom neutr,S
mööbel,dom neutr,S
mööduma,dom neutr,V
möödunu,vastuolu,S
möönma,dom neutr,V
müra,dom neg,S
mürgine,dom neg,A
mürgitama,dom neg,V
mürk,dom neg,S
müts,dom neutr,S
müüja,dom neutr,S
müük,dom neutr,S
müüma,dom neutr,V
müür,dom neutr,S
naaber,vastuolu,S
naasma,dom neutr,V
nael,dom neutr,S
naeratama,dom pos,V
naeratus,dom pos,S
naerma,dom vastuolu,V
nahk,dom neutr,S
naine,dom neutr,S
naissugu,dom neutr,S
nakkushaigus,dom neg,S
nali,vastuolu,S
naljakas,vastuolu,A
napp,vastuolu,A
nappima,dom neutr,V
narkomaan,dom neg,S
narkootikum,dom neg,S
nautima,dom pos,V
neeger,vastuolu,S
negatiivne,dom neg,A
neitsi,vastuolu,S
neiu,dom neutr,S
neli,dom neutr,N
neljapäev,dom neutr,S
neljas,dom neutr,N
nelk,dom neutr,S
nentima,dom neutr,V
nimekiri,dom neutr,S
nimeline,dom neutr,A
nimetama,dom neutr,V
nimetatu,dom neutr,S
nimetus,dom neutr,S
nimi,dom neutr,S
nina,dom neutr,S
nohu,dom neg,S
noor ,dom pos,A/S
noormees,dom neutr,S
nooruk,dom neutr,S
norm,dom neutr,S
normaalne,dom pos,A
notar,dom neutr,S
november,dom neutr,S
nuga,dom neutr,S
nukk,dom neutr,S/S/S
null,dom neutr,N/S
number,dom neutr,S
numbrimärk,dom neutr,S
nurk,dom neutr,S
nurmenukk,dom neutr,S
nutma,dom neg,V
nutt,dom neg,S
nõrk ,dom neg,A
nõrkus,dom neg,S
nõu,dom neutr,S/S
nõudlik,dom vastuolu,A
nõudma,vastuolu,V
nõue,vastuolu,S
nõukogu,dom neutr,S
nõusolek,dom pos,S
nõustuma,dom pos,V
nädal,dom neutr,S
nädalalõpp,dom neutr,S
nädalapäev,dom neutr,S
nädalavahetus,vastuolu,S
nägema,dom neutr,V
nägemus,dom neutr,S
nägu,dom neutr,S
nähtus,dom neutr,S
näide,dom neutr,S
näidend,dom neutr,S
näima,dom neutr,V
näit,dom neutr,S
näitaja,dom neutr,S
näitama,dom neutr,V
näitleja,dom neutr,S
näitus,dom neutr,S
näljane,dom neg,A
näpp,dom neutr,S
närv,dom neutr,S
närveerima,dom neg,V
närviline,dom neg,A
nüüdne,dom neutr,A
objekt,dom neutr,S
odav ,dom vastuolu,A
oht,dom neg,S
ohtlik,dom neg,A
ohustama,dom neg,V
ohutu,dom pos,A
ohver,dom neg,S
ohvitser,dom neutr,S
oja,dom neutr,S
oksendama,dom neg,V
oktoober,dom neutr,S
olek,dom neutr,S
olema,dom neutr,V
olemasolu,dom neutr,S
olematu,dom neg,A
olemus,dom neutr,S
olenema,dom neutr,V
oletama,dom neutr,V
olu,dom neutr,S
olukord,dom neutr,S
oluline ,vastuolu,A
oma,vastuolu,A/S/P/D
omaaegne,dom neutr,A
omaksed,vastuolu,S
omama,dom neutr,V
omand,dom neutr,S
omandama,vastuolu,V
omane,dom neutr,A
omanik,vastuolu,S
omavaheline,dom neutr,A
onu,vastuolu,S
ookean,dom neutr,S
ooper,dom neutr,S
ootama,vastuolu,V
ootamatu,dom vastuolu,A
ootus,dom vastuolu,S
operatsioon,vastuolu,S
operett,dom neutr,S
opositsioon,vastuolu,S
optimistlik,dom pos,A
oranž,dom neutr,A
orav,dom neutr,S
orel,dom neutr,S
organisatsioon,dom neutr,S
organiseerima,dom neutr,V
organism,dom neutr,S
orkester,dom neutr,S
osa,dom neutr,S
osakond,dom neutr,S
osalema,dom neutr,V
osaline,dom neutr,A
osariik,dom neutr,S
osavõtja,dom neutr,S
osaühing,dom neutr,S
oskama,dom pos,V
oskus,dom pos,S
ost,dom neutr,S
ostja,dom neutr,S
ostma,dom neutr,V
ostukeskus,dom neutr,S
osutama,dom neutr,V
osutuma,dom neutr,V
ots,dom neutr,S
otsene,dom neutr,A
otsima,dom neutr,V
otstarbekas,vastuolu,A
otstarve,dom neutr,S
otsus,dom neutr,S
otsustama,dom neutr,V
paar,dom neutr,N/S
paarkümmend,dom neutr,N
paat,dom neutr,S
paber,dom neutr,S
pagas,dom neutr,S
pagasiruum,dom neutr,S
paha,dom neg,A/S
pahandama,dom neg,V
pahandus,dom neg,S
pahane,dom neg,A
paigaldama,dom neutr,V
paigutama,dom neutr,V
paik,dom neutr,S/S
paiknema,dom neutr,V
paistma,dom neutr,V
pakane,vastuolu,S
pakend,dom neutr,S
pakk,dom neutr,S/S
pakkima,dom neutr,V
pakkuma,dom neutr,V
paks,vastuolu,A/S
pala,dom neutr,S
palav,dom neg,A
palavik,dom neg,S
palavus,dom neg,S
palgapäev,vastuolu,S
paljas,vastuolu,A
palju,vastuolu,D/P
palk,dom neutr,S/S
pall,dom neutr,S
paluma,vastuolu,V
palve,dom vastuolu,S
panema,dom neutr,V
pangaarve,dom neutr,S
pangakaart,dom neutr,S
pank,dom neutr,S/S
pankrot,dom neg,S
pankur,vastuolu,S
pann,dom neutr,S
panus,vastuolu,S
paraad,vastuolu,S
paragrahv,dom neutr,S
parandama,dom pos,V
parandus,vastuolu,S
paranema,dom pos,V
paras,dom pos,A
parem,dom pos,A/D
parempoolne,dom neutr,A
parim,dom pos,A
park,dom neutr,S
parkima,dom neutr,V
parkla,dom neutr,S
parlament,dom neutr,S
part,dom neutr,S
partei,vastuolu,S
partii,dom neutr,S
partner,dom neutr,S
pass,dom neutr,S
pastakas,dom neutr,S
pastor,dom neutr,S
patsient,vastuolu,S
pea,dom neutr,D/S
pealinn,dom neutr,S
pealkiri,dom neutr,S
pealtvaataja,dom neutr,S
peamine,dom neutr,A
peaminister,dom neutr,S
peatama,dom neutr,V
peatee,dom neutr,S
peatoimetaja,dom neutr,S
peatuma,dom neutr,V
peatus,dom neutr,S
peavalu,dom neg,S
pedagoog,dom neutr,S
peegel,dom neutr,S
peegeldama,dom neutr,V
peenike,vastuolu,A
pehme,vastuolu,A
peitma,vastuolu,V
peituma,dom neutr,V
peksma,dom neg,V
pension ,dom neutr,S
pensionär,dom neutr,S
pere,dom pos,S
perekond,vastuolu,S
perekonnaliige,dom neutr,S
perekonnanimi,dom neutr,S
perekonnaseis,dom neutr,S
pereliige,dom neutr,S
peremees,vastuolu,S
perenaine,dom neutr,S
periood,dom neutr,S
pesa,vastuolu,S
pesema,dom neutr,V
pesu,dom neutr,S
petma,dom neg,V
pettuma,dom neg,V
pettus,dom neg,S
pidama,dom neutr,V/V
pidev,vastuolu,A
pidžaama,dom neutr,S
pidu,dom pos,S/S
pidulik,dom pos,A
pidurdama,dom neutr,V
pihk,dom neutr,S/S
piim,dom neutr,S
piinlik,dom neg,A
piir ,dom neutr,S
piirama,dom neutr,V
piirduma,dom neutr,V
piirivalve,dom neutr,S
piirkond,dom neutr,S
piisama,vastuolu,V
piisav,dom pos,A
pikaajaline,vastuolu,A
pikem,vastuolu,A
pikendama,dom neutr,V
pikk,dom neutr,A
pikkune,dom neutr,A
pikkus,dom neutr,S
piklik,dom neutr,A
pildistama,dom neutr,V
pilet,dom neutr,S
pilk,dom neutr,S
pill,dom neutr,S/S
piloot,dom neutr,S
pilt,dom neutr,S
pilv,dom neutr,S
pilvine,dom neg,A
pilvitu,dom pos,A
pime,dom neg,A/S
pimedus,dom neg,S
pind,dom neutr,S/S
pinge,dom neg,S
pingutama,dom neutr,V
pingutus,vastuolu,S
pintsak,dom neutr,S
pipar,dom neutr,S
pirn,dom neutr,S
pisike,dom vastuolu,A
pistma,dom neutr,V
plaan,dom neutr,S
plaanima,dom neutr,V
plaat,dom neutr,S
plahvatus,dom neg,S
planeerima,dom neutr,V/V
plats,dom neutr,S
pleier,dom neutr,S
pliiats,dom neutr,S
pliit,dom neutr,S
ploom,dom neutr,S
pluss,vastuolu,S
poeg,vastuolu,S
poiss,dom neutr,S
pole,vastuolu,
poliitik,dom neutr,S
poliitika,dom neutr,S
poliitiline,vastuolu,A
polikliinik,dom neutr,S
politsei,dom neutr,S
politseinik,dom neutr,S
pomm,dom neg,S
pood,dom neutr,S
pool,dom neutr,D/S/S/N
poolaasta,dom neutr,S
pooldama,dom pos,V
poolsaar,dom neutr,S
poolteist,dom neutr,N
populaarne,vastuolu,A
populaarsus,vastuolu,S
porgand,dom neutr,S
pori,dom neg,S
positiivne,dom pos,A
positsioon,dom neutr,S
post,dom neutr,S/S
postiindeks,dom neutr,S
postkast,dom neutr,S
postkontor,dom neutr,S
postmark,dom neutr,S
potentsiaalne,vastuolu,A
praad,dom neutr,S
praam,dom neutr,S
praegune,dom neutr,A
praht,vastuolu,S
praktika,dom neutr,S
praktiline,dom pos,A
preemia,dom pos,S
president,vastuolu,S
press,dom neutr,S/S
pressima,vastuolu,V
prillid,dom neutr,S
printer,dom neutr,S
probleem,dom neg,S
professionaalne,dom pos,A
professor,vastuolu,S
programm,dom neutr,S
projekt,dom neutr,S
prokurör,dom neutr,S
proov,dom neutr,S
proovikabiin,dom neutr,S
proovima,dom neutr,V
protest,dom neg,S
protseduur,dom neutr,S
protsent,dom neutr,S
protsess,dom neutr,S
proua,vastuolu,S
provints,dom neg,S
pruukima,vastuolu,V
pruun,dom neutr,A/S
prügi,dom neg,S
prügikast,dom neutr,S
psühholoog,dom neutr,S
psühholoogia,dom neutr,S
psühholoogiline,dom neutr,A
publik,dom neutr,S
pudel,dom neutr,S
puder,dom neutr,S
puhas,dom pos,A
puhastama,dom neutr,V
puhk,dom neutr,S
puhkaja,vastuolu,S
puhkama,dom pos,V
puhkema,vastuolu,V
puhkepäev,dom pos,S
puhkus ,dom pos,S
puhuma,dom neutr,V
puiestee,dom neutr,S
pulm,dom pos,S
punane,dom neutr,A/S
punkt,dom neutr,S
purunema,dom neg,V
puu,dom neutr,S
puuduma,dom neg,V
puudus,dom neg,S
puudutama,dom neutr,V
puutuma,dom neutr,V
puuvili,dom neutr,S
puuvillane,dom neutr,A
põder,dom neutr,S
põgenema,dom neg,V
põhi,dom neutr,S
põhikool,dom neutr,S
põhiline,dom neutr,A
põhimõte,dom neutr,S
põhimõtteline,dom vastuolu,A
põhinema,dom neutr,V
põhiseadus,dom neutr,S
põhjalik,dom pos,A
põhjendama,dom neutr,V
põhjendus,dom neutr,S
põhjus,dom neutr,S
põhjustama,vastuolu,V
põld,dom neutr,S
põlema,dom neutr,V
põletik,dom neg,S
põllumajandus,dom neutr,S
põllumees,dom neutr,S
põlv,dom neutr,S
põlvkond,dom neutr,S
põnev,dom pos,A
põrand,dom neutr,S
põsk,dom neutr,S
põud,dom neg,S
põõsas,dom neutr,S
päev,dom neutr,S
päevakord,dom neutr,S
päevik,dom neutr,S
päevitama,vastuolu,V
päike,dom pos,S/S
päikeseline,dom pos,A
päikeseloojang,vastuolu,S
päikesetõus,vastuolu,S
pälvima,vastuolu,V
pärastlõuna,dom neutr,S
pärima,dom neutr,V
pärinema,dom neutr,V
päritolu,dom neutr,S
pääs,dom neutr,S
pääsema,dom pos,V
päästeamet,dom neutr,S
päästma,dom pos,V
pööning,dom neutr,S
pöörama,dom neutr,V
pöörduma,dom neutr,V
püha ,dom pos,A/S
pühad,dom pos,S
pühapäev,dom pos,S
pühendama,vastuolu,V
püksid,dom neutr,S
püsima,dom neutr,V
püstitama,dom neutr,V
püstol,dom neg,S
püüdma,dom neutr,V
raadio,dom neutr,S
raam ,dom neutr,S
raamat,dom neutr,S
raamatukogu,dom neutr,S
raamatupidaja,dom neutr,S
raamatupood,dom neutr,S
rada,dom neutr,S
radiaator,dom neutr,S
raekoda,dom neutr,S
raha,vastuolu,S
rahakott,dom neutr,S
rahaline,dom neutr,A
rahu,dom pos,S
rahuldama,dom pos,V
rahulik,dom pos,A
rahustama,dom pos,V
rahutu,dom neg,A
rahvas,dom neutr,S
rahvus,dom neutr,S
rahvuslik,vastuolu,A
rahvusvaheline,dom neutr,A
raiskama,dom neg,V
rajama,vastuolu,V
rajoon,dom neutr,S
rakendama,dom neutr,V
rand,dom neutr,S
range,dom neg,A
raport,dom neutr,S
rase,vastuolu,A/S
raske,dom neg,A
raskus,dom neutr,S
rasv,vastuolu,S
rasvane,dom neg,A
ratas,dom neutr,S
raud,dom neutr,S
raudne,vastuolu,A
raudtee,dom neutr,S
raudteejaam,dom neutr,S
ravi,vastuolu,S
ravikindlustus,dom neutr,S
ravim,dom pos,S
ravima,dom pos,V
reaalne,dom neutr,A
reageerima,dom neutr,V
rebane,dom neutr,S
rebima,vastuolu,V
reede,dom neutr,S
reegel,dom neutr,S
reform,dom neutr,S
register,dom neutr,S
registratuur,dom neutr,S
registreerima,dom neutr,V
reguleerima,dom neutr,V
rehv,dom neutr,S
reis,dom neutr,S/S
reisija,dom neutr,S
reisima,dom neutr,V
reklaam,vastuolu,S
reklaamima,dom neutr,V
rektor,dom neutr,S
relv,dom neg,S
remont,vastuolu,S
remontima,vastuolu,V
rent,dom neutr,S
rentima,dom neutr,V
repliik,dom neutr,S
reserv,dom neutr,S
reserveerima,dom neutr,V
ressurss,dom neutr,S
restoran,dom neutr,S
režissöör,dom neutr,S
rida,dom neutr,S
riided,dom neutr,S
riie,dom neutr,S
riigiametnik,dom neutr,S
riigiasutus,dom neutr,S
riigiettevõte,dom neutr,S
riigikaitse,dom neutr,S
riigikogu,dom neutr,S
riigikogulane,vastuolu,S
riik,dom neutr,S
riiklik,dom neutr,A
riis,dom neutr,S
rikas,vastuolu,A
rikkuma,dom neg,V
rikkus,dom pos,S
rind,dom neutr,S
ring,dom neutr,S
ringkond,dom neutr,S
rippuma,dom neutr,V
