"Märksõna (B1, B2)",tundetoon,sonaliik
riputama,dom neutr,V
risk,dom neg,S
rist,vastuolu,S
ristmik,dom neutr,S
rivaal,dom neg,S
roheline,dom neutr,A
rohi,vastuolu,S
roll,dom neutr,S
romaan,vastuolu,S
rong,dom neutr,S
rongijaam,dom neutr,S
ronima,dom neutr,V
rool,dom neutr,S
roos,vastuolu,S
roosa,vastuolu,A/S
rott,dom neg,S
rubla,dom neutr,S
rumal,dom neg,A
rumalus,dom neg,S
ruuduline,dom neutr,A
ruum,dom neutr,S
ruutmeeter,dom neutr,S
rõdu,dom neutr,S
rõhutama,vastuolu,V
rõõm,dom pos,S
rõõmus,dom pos,A
rõõmustama,dom pos,V
rätsep,dom neutr,S
rääkima,dom neutr,V
rööv,dom neg,S
röövel,dom neg,S
röövima,dom neg,V
rühm,dom neutr,S
ründama,dom neg,V
rünnak,dom neg,S
saabas,dom neutr,S
saabuma,dom neutr,V
saade,dom neutr,S
saadik,dom neutr,D/S
saadu,dom neutr,S
saaja,dom neutr,S
saak,dom pos,S
saal,dom neutr,S
saama,dom neutr,V
saar,dom neutr,S/S
saatkond,dom neutr,S
saatma,dom neutr,V
saatus,vastuolu,S
saav,dom neutr,A
saavutama,dom pos,V
saavutus,dom pos,S
saba,dom neutr,S
sada,dom neutr,N
sadam,dom neutr,S
sadu,vastuolu,S
sai,dom neutr,S
sajand,dom neutr,S
saladus,vastuolu,S
salajane,dom neg,A
salat,dom neutr,S
salong,dom neutr,S
salvestama,dom neutr,V
samm,dom neutr,S
sari,dom neutr,S
sarnane,dom neutr,A
sarnanema,dom neutr,V
sattuma,dom neutr,V
saun,dom neutr,S
seade,dom neutr,S/S
seadma,dom neutr,V
seadus,dom neutr,S
seadusevastane,dom neg,A
seaduslik,vastuolu,A
sealne,dom neutr,A
seekordne,dom neutr,A
seelik,dom neutr,S
seen,dom neutr,S
seep,dom neutr,S
seeria,dom neutr,S
segadus,dom neg,S
segama,vastuolu,V
segane,dom neg,A
sein,dom neutr,S
seis,dom neutr,S
seisma,dom neutr,V
seisnema,dom neutr,V
seisukoht,dom neutr,S
seisukord,dom neutr,S
seisund,dom neutr,S
seitse,dom neutr,N
seitsmes,dom neutr,N
sekkuma,dom neutr,V
sekretär,dom neutr,S
seksuaalne,vastuolu,A
sektor,dom neutr,S
sekund,dom neutr,S
seletama,dom neutr,V
seletus,dom neutr,S
selg ,dom neutr,S
selge ,dom pos,A
selgitama,dom neutr,V
selgitus,dom neutr,S
selguma,dom neutr,V
selgus,dom pos,S
selts,dom neutr,S
seltskond,dom neutr,S
seminar,dom neutr,S
senine,dom neutr,A
sent,dom neutr,S
sentimeeter,dom neutr,S
seos,dom neutr,S
sepik,dom neutr,S
sepp,dom neutr,S
september,dom neutr,S
sibul,dom neutr,S
side,dom neutr,S/S
sidrun,dom neutr,S
siduma,dom neutr,V
siga,vastuolu,A/S
sigaret,dom neutr,S
signaal,dom neutr,S
siht,dom neutr,S
sihtasutus,dom neutr,S
sihtkoht,dom neutr,S
siin,dom neutr,D/S
siinne,dom neutr,A
sild,dom neutr,S
sile,dom pos,A
silm,dom neutr,S/S
silt,dom neutr,S
sina,dom neutr,P/S
sinine,dom neutr,A/S
sink,dom neutr,S
sirge,vastuolu,A/S
sisaldama,dom neutr,V
sisemine,dom neutr,A
sisenema,dom neutr,V
sissepääs,dom neutr,S
sissetulek,dom neutr,S
sisu,dom neutr,S
sisuline,dom pos,A
situatsioon,dom neutr,S
skandaal,dom neg,S
skeem,dom neutr,S
sobima,dom pos,V
soe,dom pos,A/S
soeng,dom neutr,S
solvuma,dom neg,V
soodne,dom pos,A
soojus,dom pos,S
sool,dom neutr,S/S
soolane,vastuolu,A
sooritama,dom neutr,V
soov,dom neutr,S
soovija,dom neutr,S
soovima,dom neutr,V
soovitama,vastuolu,V
soovitus,dom pos,S
sort,dom neutr,S
sosistama,vastuolu,V
sotsiaalne,dom neutr,A
spetsiaalne,vastuolu,A
spetsialist,vastuolu,S
sponsor,vastuolu,S
spordiala,dom neutr,S
spordivõistlus,dom neutr,S
sport,dom neutr,S
sportima,dom neutr,V
sportlane,dom neutr,S
staadion,dom neutr,S
staatus,dom neutr,S
stabiilne,vastuolu,A
stabiilsus,dom pos,S
startima,dom neutr,V
statistika,dom neutr,S
stiil,dom neutr,S
stipendium,dom pos,S
stjuardess,dom neutr,S
strateegiline,dom neutr,A
stress,dom neg,S
struktuur,dom neutr,S
stsenaarium,dom neutr,S
sugu,dom neutr,S/D
sugulane,vastuolu,S
suhe,vastuolu,S
suhkur,dom neutr,S
suhteline,dom neutr,A
suhtlema,dom neutr,V
suhtuma,dom neutr,V
suits,dom neg,S
suitsetama,dom neg,V
sulama,dom neutr,V
sularaha,dom neutr,S
sulg,dom neutr,S/S
sulgema,vastuolu,V
summa,dom neutr,S
sundima,dom neg,V
supp,vastuolu,S
surema,dom neg,V
surm,dom neg,S
surnu,dom neg,S
surnuaed,vastuolu,S
surnukeha,dom neg,S
suruma,dom neg,V
surve,dom neg,S
suu,dom neutr,S
suudlema,dom pos,V
suuline,dom neutr,A
suunama,dom neutr,V
suund ,dom neutr,S
suunduma,dom neutr,V
suur ,dom neutr,A
suurendama,dom neutr,V
suurenema,dom neutr,V
suurepärane,dom pos,A
suurune,dom neutr,A
suurus,dom neutr,S
suusataja,dom neutr,S
suusatama,dom neutr,V
suusk,dom neutr,S
suutma,vastuolu,V
suveniir,dom neutr,S
suvi,dom pos,S
suvila,dom neutr,S
suvine,vastuolu,A
sõber,dom pos,S
sõbralik,dom pos,A
sõbranna,vastuolu,S
sõbratar,dom pos,S
sõda,dom neg,S
sõdima,dom neg,V
sõdur,vastuolu,S
sõiduauto,dom neutr,S
sõiduk,dom neutr,S
sõidutama,dom neutr,V
sõidutee,dom neutr,S
sõit,dom neutr,S
sõitja,dom neutr,S
sõitma,dom neutr,V
sõjaline,vastuolu,A
sõjavägi,dom vastuolu,S
sõlmima,dom neutr,V
sõltuma,vastuolu,V
sõltumatu,dom pos,A
sõna,dom neutr,S
sõnama,dom neutr,V
sõnaraamat,dom neutr,S
sõnastama,dom neutr,V
sõnum,dom neutr,S
sõprus,dom pos,S
sõrm,dom neutr,S
sõrmus,dom neutr,S
säilima,dom neutr,V
säilitama,dom neutr,V
sääsk,dom neg,S
säästma,vastuolu,V
söök,dom neutr,S
sööma,dom neutr,V
söötma,dom neutr,V
süda,dom neutr,S
südalinn,dom neutr,S
südaöö,dom neutr,S
sügav,dom neutr,A
sügis,dom neutr,S
sügisene,dom neutr,A
sümbol,dom neutr,S
sümpaatne,dom pos,A
sünd,dom neutr,S
sündima,dom neutr,V
sündinu,dom neutr,S
sündmus,dom neutr,S
sünnikoht,dom neutr,S
sünnikuupäev,dom neutr,S
sünnipäev,dom pos,S
sünnitama,dom neutr,V
sünnitunnistus,dom neutr,S
süst,dom neutr,S
süsteem,dom neutr,S
süttima,vastuolu,V
süü,dom neg,S
süüdistama,dom neg,V
süüdistus,dom neg,S
süütama,vastuolu,V
šokolaad,vastuolu,S
žilett,dom neutr,S
taastama,dom pos,V
tabama,vastuolu,V
tabel,dom neutr,S
tablett,vastuolu,S
taevas,vastuolu,S
tagajärg,vastuolu,S
tagama,dom neutr,V
tagasihoidlik,dom pos,A
tagastama,dom neutr,V
tagatis,dom neutr,S
tagune,dom neutr,S
tahe,dom pos,A/S
tahtma,dom neutr,V
taigen,dom neutr,S
taim,dom neutr,S
takistama,dom neg,V
takistus,dom neg,S
takso,dom neutr,S
taksojuht,dom neutr,S
taktika,dom neutr,S
taldrik,dom neutr,S
talu,dom neutr,S
talunik,dom neutr,S
talupidaja,dom neutr,S
talv,dom neutr,S
talvine,vastuolu,A
tankima,dom neutr,V
tants,vastuolu,S
tantsija,dom neutr,S
tantsima,dom pos,V
taoline,dom neutr,A/P
taotlema,dom neutr,V
taotlus,dom neutr,S
tapma,dom neg,V
tarbima,dom neutr,V
tark ,dom pos,A/S
tarkus,dom pos,S
tarve,dom neutr,S
tasakaal,dom pos,S
tasand,dom neutr,S
tase,dom neutr,S
tasku,dom neutr,S
tass,dom neutr,S
tasu,vastuolu,S
tasuline,vastuolu,A
tasuma,dom neutr,V
taust,dom neutr,S
tava,dom neutr,S
tavaline,dom neutr,A
tavapärane,dom neutr,A
teade,dom neutr,S
teadlane,dom neutr,S
teadlik,dom pos,A
teadma,vastuolu,V
teadus,vastuolu,S
teaduslik,vastuolu,A
teadvustama,dom neutr,V
teatama,dom neutr,V
teatav,dom neutr,A
teater,vastuolu,S
teave,dom neutr,S
tee,dom neutr,S/S
teekond,dom neutr,S
teema,dom neutr,S
teene,vastuolu,S
teenima,dom neutr,V
teenindama,dom neutr,V
teenindus,dom neutr,S
teenistus,dom neutr,S
teenus,dom neutr,S
teenustasu,vastuolu,S
tegelane,dom neutr,S
tegelema,dom neutr,V
tegelik,dom neutr,A
tegelikkus,dom neutr,S
tegema,dom neutr,V
tegevus,dom neutr,S
tegija,dom neutr,S
tegu,dom neutr,S
tegur,dom neutr,S
tegutsema,dom neutr,V
tehas,dom neutr,S
tehing,dom neutr,S
tehnika,dom neutr,S
tehniline,dom neutr,A
tehnoloogia,dom neutr,S
tehtu,dom neutr,S
teine,dom neutr,N/P
teisipäev,dom neutr,S
teke,dom neutr,S
tekitama,dom neutr,V
tekk,dom neutr,S
tekkima,dom neutr,V
teksad,dom neutr,S
tekst,dom neutr,S
telefon,dom neutr,S
telefonikõne,dom neutr,S
telefoninumber,dom neutr,S
telekanal,dom neutr,S
telekas,dom neutr,S
teler,dom neutr,S
televiisor,dom neutr,S
tellija,dom neutr,S
tellima,dom neutr,V
tellimus,dom neutr,S
temperatuur,dom neutr,S
tempo,dom neutr,S
tennis,dom neutr,S
teos,dom neutr,S
teostama,dom neutr,V
tera,dom neutr,S
terav,vastuolu,A
territoorium,dom neutr,S
terve,dom pos,A/S
tervik,dom neutr,S
tervis,dom neutr,S
tervislik,dom pos,A
tervitama,dom pos,V
tervitus,dom pos,S
tige,dom neg,A
tigu,vastuolu,S
tihe,dom neutr,A
tiib,dom neutr,S
tiitel,dom neutr,S
tikk,dom neutr,S
tingima,dom neutr,V
tingimus,dom neutr,S
tipp,vastuolu,S
tippjuht,dom neutr,S
toetaja,dom pos,S
toetama,dom pos,V
toetuma,dom neutr,V
toetus,dom pos,S
tohtima,dom pos,V
tohutu,vastuolu,A/D
toiduaine ,dom neutr,S
toidupood,dom neutr,S
toiduõli,dom neutr,S
toime,dom neutr,S
toimetaja,dom neutr,S
toimetama,dom neutr,V
toimetus,dom neutr,S
toimik,dom neutr,S
toimima,dom neutr,V
toiming,dom neutr,S
toimuma,dom neutr,V
toimunu,dom neutr,S
toit,dom neutr,S
toitma,dom neutr,V
toituma,dom neutr,V
toll,dom neutr,S/S
tollane,dom neutr,A
tolliametnik,dom neutr,S
tolmune,dom neg,A
tomat,dom neutr,S
tonn,dom neutr,S
toodang,dom neutr,S
toode,dom neutr,S
tool,dom neutr,S
tooma,dom neutr,V
toon,dom neutr,S
tootja,dom neutr,S
tootma,dom neutr,V
tore,dom pos,A
torm,dom neg,A/S
tormine,dom neg,A
toru,dom neutr,S
traditsioon,vastuolu,S
traditsiooniline,vastuolu,A
trahv,dom neg,S
tramm,dom neutr,S
transport,dom neutr,S
treener,dom neutr,S
treening,vastuolu,S
trepikoda,dom neutr,S
trepp,dom neutr,S
triibuline,dom neutr,A
trikk,vastuolu,S
troll,dom neutr,S
trügima,dom neg,V
trükkima,dom neutr,V
tsehh,dom neutr,S
tsirkus,vastuolu,S
tsoon,dom neutr,S
tšekk,dom neutr,S
tualett,dom neutr,S
tuba,dom neutr,S
tubli,dom pos,A
tudeng,dom neutr,S
tugev ,dom pos,A
tugevdama,dom pos,V
tugevnema,dom pos,V
tugi,dom pos,S
tuginema,dom neutr,V
tuhat,dom neutr,N
tuhk,dom neutr,S
tuju,dom neutr,S
tulek,dom neutr,S
tulekahju,dom neg,S
tulema,dom neutr,V
tulemus,dom neutr,S
tulenema,dom neutr,V
tuletama,dom neutr,V
tuletõrje,vastuolu,S
tuletõrjuja,vastuolu,S
tulevane,vastuolu,A/S
tulevik,dom neutr,S
tuli,vastuolu,S
tuline,vastuolu,A
tulistama,dom neg,V
tulp,dom neutr,S
tulu,vastuolu,S
tume,vastuolu,A
tund,dom neutr,S
tundma,dom neutr,V
tundmatu,vastuolu,A/S
tunduma,dom neutr,V
tungima,dom neg,V
tunne,dom neutr,S
tunnel,dom neutr,S
tunnetama,dom neutr,S
tunnistaja,dom neutr,S
tunnistama,dom neutr,V
tunnistus,vastuolu,S
tunnus,dom neutr,V
tunnustama,dom pos,V
tuntu,dom pos,S
turg,dom neutr,S
turist,vastuolu,S
turniir,dom neutr,S
turuhind,dom neutr,S
turvaline,dom pos,A
turvalisus,vastuolu,S
turvamees,vastuolu,S
tuttav,vastuolu,A/S
tutvuma,vastuolu,V
tutvustama,vastuolu,V
tuul,dom neutr,S
tuuline,vastuolu,A
tuvastama,dom neutr,V
tuvi,dom neutr,S
tõde,dom pos,S
tõdema,dom neutr,V
tõeline,vastuolu,A
tõend,dom neutr,S
tõenäoline,dom neutr,A
tõenäosus,dom neutr,S
tõestama,dom neutr,V
tõlge,dom neutr,S
tõlkima,dom neutr,V
tõmbama,dom neutr,V
tõotama,dom neutr,V
tõrjuma,vastuolu,V
tõsi,vastuolu,S
tõsiasi,dom neutr,A
tõsine  ,vastuolu,A
tõstma,dom neutr,V
tõus,vastuolu,S
tõusma,dom neutr,V
tädi,vastuolu,S
täheldama,dom neutr,S
tähelepanelik,dom pos,A
tähelepanu,dom neutr,S
tähendama,dom neutr,V
tähendus,dom neutr,S
tähistama,dom pos,V
täht,dom neutr,S
tähtaeg,dom neutr,S
tähtajaline,dom neutr,A
tähtis ,dom pos,A
tähtpäev,vastuolu,S
tähtsus,vastuolu,S
tähtsusetu,dom neg,A
täielik,vastuolu,A
täiendama,dom neutr,V
täiendus,dom neutr,S
täis,vastuolu,D/A
täiskasvanu,dom neutr,S
täitma,dom neutr,V
tänama,dom pos,V
tänane ,dom neutr,A
tänapäev,dom neutr,S
tänav,dom neutr,S/A
tänavune,dom neutr,A
tänu,vastuolu,D/S
tänulik,dom pos,A
täpiline,dom neutr,A
täpne ,dom pos,A
täpsustama,dom neutr,V
töö,dom neutr,S
tööaeg,dom neutr,S
tööandja,dom neutr,S
tööjõud,dom neutr,S
töökaaslane,dom neutr,S
töökas,dom pos,A
töökoht,dom neutr,S
töökorras,dom pos,A
tööleping,dom neutr,S
tööline,dom neutr,S
töömees,dom neutr,S
tööpäev,dom neutr,S
tööriist,dom neutr,S
tööstus,dom neutr,S
töötaja,dom neutr,S
töötama,dom neutr,V
töötasu,dom neutr,S
töötlema,dom neutr,V
töötu,dom neg,A/S
töötuba,dom neutr,S
töötus,dom neg,S
tööülesanne,dom neutr,S
tüdruk,dom neutr,S
tühi,dom neg,A
tühistama,dom neg,V
tükk,dom neutr,S
tüli,dom neg,S
tülitama,dom neg,V
tülitsema,dom neg,V
tütar,vastuolu,S
tüüp,vastuolu,S
uhke,vastuolu,A
uisk,dom neutr,S
uisutama,dom neutr,V
ujula,dom neutr,S
ujuma,dom neutr,V
uks,dom neutr,S
ulatama,dom neutr,V
ulatuma,dom neutr,V
ulatus,dom neutr,S
ummik,dom neg,S
unenägu,vastuolu,S
uni,vastuolu,S
unine,dom neg,A
unistama,dom pos,V
unistus,dom pos,S
unustama,dom neg,V
usaldama,dom pos,V
usaldus,vastuolu,S
usk,vastuolu,S
usklik,dom vastuolu,A
uskuma,vastuolu,V
uss,vastuolu,S
uudis,dom neutr,S
uudishimulik,dom vastuolu,A
uuendus,dom pos,S
uurija,dom neutr,S
uurima,dom neutr,V
uurimus,dom neutr,S
uuring,dom neutr,S
uus,vastuolu,A
uusaasta,dom neutr,S
vaade,dom neutr,S
vaarikas,dom neutr,S
vaataja,dom neutr,S
vaatama,dom neutr,V
vaatamisväärsus,vastuolu,S
vaatleja,dom neutr,S
vaatlema,dom neutr,V
vaba,dom pos,A
vabaabielu,dom neutr,S
vabadus,dom pos,S
vabadusekaotus,dom neg,S
vabandama,vastuolu,V
vabandus ,vastuolu,S
vabanema,dom pos,V
vabariik,dom neutr,S
vabastama,dom pos,V
vabatahtlik,dom pos,A/S
vabrik,dom neutr,S
vaene ,dom neg,A/S
vaenlane,dom neg,S
vaesus,dom neg,S
vaev,dom neg,S
vagun,dom neutr,S
vahe,dom neutr,A/S
vaheaeg,vastuolu,S
vahekord,dom neutr,S
vaheline,dom neutr,A
vahemaa,dom neutr,S
vahend,dom neutr,S
vahendus,dom neutr,S
vahetama,dom neutr,V
vahetuma,dom neutr,V
vahetus,dom neutr,S
vaht,dom neutr,S/S
vaidlema,dom neg,V
vaidlus,dom neg,S
vaikima,dom vastuolu,V
vaikne,dom pos,A
vaikus,dom pos,S
vaim,vastuolu,S
vaimne,dom neutr,A
vajadus,dom neutr,S
vajalik,dom pos,A
vajalikkus,vastuolu,S
vajama,dom neutr,V
vajuma,vastuolu,V
vajutama,dom neutr,V
valama,dom neutr,V
vald,dom neutr,S
valdama,dom neutr,V
valdkond,dom neutr,S
valdus,dom neutr,S
vale,dom neg,A/S
valetama,dom neg,V
valge,vastuolu,A/S
valgus,vastuolu,S
valgusfoor,dom neutr,S
valija,dom neutr,S
valik,dom neutr,S
valima,dom neutr,V
valimiskampaania,vastuolu,S
valitsema,dom neutr,V
valitsus,dom neutr,S
vallaline,dom neutr,A/S
vallandama,dom neg,V
vallavanem,dom neutr,S
vallutama,vastuolu,V
valmima,dom neutr,V
valmis,vastuolu,D/A
valmistama,dom neutr,V
valmistuma,dom neutr,V
valu,dom neg,S
valus,dom neg,A
valutama,dom neg,V
valuuta,dom neutr,S
valvama,dom neutr,V
valve,dom neutr,S
valvur,dom neutr,S
vana ,vastuolu,A/S
vana-aasta,vastuolu,S
vanaema,dom pos,S
vanaisa,dom pos,S
vanalinn,vastuolu,S
vanem,vastuolu,A/S
vang,dom neg,S
vangla,dom neg,S
vanglakaristus,dom neg,S
vann,dom neutr,S
vannituba,dom neutr,S
vanur,dom neutr,S
vanus,dom neutr,S
vara,dom neutr,D/S
varahommik,dom neutr,S
varajane,vastuolu,A
varane ,dom neutr,A
varas,dom neg,S
varastama,dom neg,V
varblane,dom neutr,S
varem,dom neutr,A/D
vares,dom neutr,S
vargus,dom neg,S
vari,vastuolu,S
variant,dom neutr,S
varjama,vastuolu,V
varu,vastuolu,S
varuosa,dom neutr,S
varustama,dom neutr,V
varustus,dom neutr,S
varvas,dom neutr,S
vasak,dom neutr,A
vasakpoolne,vastuolu,A
vastama,dom neutr,V
vastane,dom neg,A/S
vastasseis,dom neg,S
vastav,dom neutr,A
vastne,vastuolu,A/S
vastuolu,dom neg,S
vastupidav,dom pos,A
vastupidine,vastuolu,A
vastus,dom neutr,S
vastutama,dom neutr,V
vastutav,vastuolu,A
vastutus,dom neutr,S
vastuvõtt,dom pos,S
WC,dom neutr,S
vedama,dom vastuolu,V
veebruar,dom neutr,S
veekogu,dom neutr,S
veenduma,dom neutr,V
veendumus,dom neutr,S
veenma,dom neutr,V
veerand,dom neutr,N/S
veetma,dom neutr,S
vein,dom neutr,S
veiseliha,dom neutr,S
vend,vastuolu,S
venima,dom neutr,V
veoauto,dom neutr,S
veok,dom neutr,S
veri,vastuolu,S
versioon,dom neutr,S
vesi,vastuolu,S
vestlema,dom neutr,V
vestlus,dom neutr,S
video,dom neutr,S
viga,dom neg,S
vigastama,dom neg,V
vigastus,dom neg,S
viha,dom neg,S
vihane,dom neg,A
vihastama,dom neg,V
vihje,dom neutr,S
vihkama,dom neg,V
vihm,vastuolu,S
vihmane,dom neg,A
vihmavari,dom neutr,S
viibima,dom neutr,V
viies,dom neutr,N
viima,dom neutr,V
viimane,vastuolu,A
viin,vastuolu,S
viirus,dom neg,S
viis,dom neutr,N/S
viisa,dom neutr,S
viisakas,dom pos,A
viitama,dom neutr,V
viitsima,dom neutr,V
viiul,dom neutr,S
viivis,dom neg,S
vikerkaar,vastuolu,S
vili,vastuolu,S
visiit,dom neutr,S
viskama,dom neutr,V
vitamiin,dom pos,S
volikogu,dom neutr,S
volinik,dom neutr,S
volitus,dom neutr,S
voodi,dom neutr,S
voodipesu,dom neutr,S
vool,dom neutr,S
voor,dom neutr,S/S/S
vorm,dom neutr,S
vormistama,dom neutr,V
vorst,dom neutr,S
või,dom neutr,D/S
võidupüha,dom pos,S
võileib,dom neutr,S
võilill,dom neutr,S
võim,vastuolu,S
võima,vastuolu,V
võimaldama,vastuolu,V
võimalik,vastuolu,A
võimalus,dom pos,S
võimas,dom pos,A
võimatu,dom neg,A
võime,dom pos,S
võimeline,dom pos,A
võistkond,dom neutr,S
võistleja,dom neutr,S
võistlema,dom neutr,V
võistlus,vastuolu,S
võit,dom pos,S
võitja,dom pos,S
võitlema,dom neg,V
võitlus,dom neg,S
võitma,dom pos,V
võlakiri,vastuolu,S
võlg,dom neg,S
võrdlema,dom neutr,V
võrdlus,dom neutr,S
võrdne,vastuolu,A
võrk,dom neutr,S
võrkpall,dom neutr,S
võti,dom neutr,S
võtma,dom neutr,V
võõras,dom neutr,A/S
võõrkeel,dom neutr,S
võõrkeelne,dom neutr,A
väeosa,dom neutr,S
vägi,vastuolu,S
vägivald,dom neg,S
vähem,dom neg,A/D
vähemus,dom neg,S
vähendama,vastuolu,V
vähene,dom neg,A
vähenema,vastuolu,V
vähenõudlik,vastuolu,A
väide,dom neutr,S
väike ,vastuolu,A/A
väikelinn,dom neutr,S
väitma,dom neutr,V
väli,dom neutr,S
välimus,dom neutr,S
väliseestlane,vastuolu,S
välismaa,vastuolu,S
välismaalane,vastuolu,S
välismaine,dom neutr,A
välisriik,dom neutr,S
välistama,dom neutr,V
välisuks,dom neutr,S
väljaanne,dom neutr,S
väljak,dom neutr,S
väljakutse,vastuolu,S
väljaminek,dom neg,S
väljapanek,dom neutr,S
väljapääs,dom neutr,S
väljastama,dom neutr,V
väljavõte,dom neutr,S
väljaõpe,vastuolu,S
väljendama,dom neutr,V
väljuma,dom neutr,V
välk,vastuolu,S
vältima,vastuolu,V
värav,dom neutr,S
värske,dom pos,A/S
värv,dom neutr,S
värviline,vastuolu,A
värvima,dom neutr,V
värvus,dom neutr,S
väsima,dom neg,V
väsimus,dom neg,S
väsitama,dom neg,V
väärima,dom pos,V
väärtus,dom pos,S
väärtuslik,dom pos,A
õde,vastuolu,S
õhk,dom neutr,S
õhtu,dom neutr,S
õhtusöök,dom neutr,S
õhuke,vastuolu,A
õhutemperatuur,dom neutr,S
õige,dom pos,A/D
õigem,vastuolu,A
õigus,dom pos,S
õigustama,vastuolu,V
õitsema,dom pos,V
õlg,dom neutr,S/S
õli,dom neutr,S
õlu,dom neutr,S
õnn,dom pos,S
õnnelik,dom pos,A
õnnestuma,dom pos,V
õnnetu,dom neg,A
õnnetus,dom neg,S
õnnitlema,dom pos,V
õnnitlus,dom pos,S
õpetaja,vastuolu,S
õpetama,dom neutr,V
õpetus,dom neutr,S
õpik,dom neutr,S
õpilane,dom neutr,S
õpingud,dom neutr,S
õppeaasta,dom neutr,S
õppejõud,dom neutr,S
õppelaen,vastuolu,S
õppemaks,vastuolu,S
õppetöö,dom neutr,S
õppima,dom neutr,V
õppus,dom neutr,S
õrn,vastuolu,A
õu,dom neutr,S
õudne,dom neg,A
õun,dom neutr,S
õunapuu,dom neutr,S
ähvardama,dom neg,V
ähvardus,dom neg,S
äi,dom neutr,S
äike,dom neg,S
ämm,dom neg,S
ära,dom neg,D/V
äratama,dom neutr,V
äri,dom neutr,S
ärimees,vastuolu,S
ärkama,dom neutr,V
äädikas,dom neutr,S
äär,dom neutr,S
äärelinn,dom neutr,A
öeldu,dom neutr,S
öine,dom neutr,A
öö,dom neutr,S
ööbima,dom neutr,V
ööpäev,dom neutr,S
öösärk,dom neutr,S
üheksa,dom neutr,N
ühendama,dom neutr,V
ühendus,dom neutr,S
ühesugune,dom neutr,A
ühesuunaline,dom neutr,A
ühetoaline,dom neutr,A
ühine,vastuolu,A
ühinema,vastuolu,V
ühing,dom neutr,S
ühiselamu,dom neutr,S
ühiskond,dom neutr,S
ühiskondlik,dom neutr,A
ühistransport,vastuolu,S
ühistu,dom neutr,S
ühtne,dom pos,A
üks,dom neutr,N/P
üksik,dom neg,A
ükskõikne,dom neg,A
üksteist,dom neutr,N
üksus,dom neutr,S
üldine,dom neutr,A
üldsus,dom neutr,S
ülejäänu,dom neutr,S
ülekanne,dom neutr,S
ülekäigurada,dom neutr,S
ülem,dom neutr,A/S
ülemaailmne,dom neutr,A
ülemine,dom neutr,A
üleminek,dom neutr,S
ülemus,vastuolu,S
ülesanne,dom neutr,S
ületama,dom neutr,V
üleujutus,dom neg,S
ülevaade,dom neutr,S
ülevaatus,dom neutr,S
ülikond,dom neutr,S
ülikool,vastuolu,S
üliõpilane,dom neutr,S
üllatama,vastuolu,V
üllatuma,dom pos,V
üllatus,dom pos,S
ümar,dom neutr,A
ümbermõõt,dom neutr,S
ümbrik,dom neutr,S
ümbrus,dom neutr,S
ümmargune,dom neutr,A
üritama,dom neutr,V
üritus,dom neutr,S
ütlema,dom neutr,V
üür,dom neutr,S
üürima,dom neutr,V
üürnik,dom neutr,S
